model_family,method,glue_score,param_count_m
bert,fft,78.18,109.484
roberta,fft,80.81,124.647
deberta,fft,84.13,184.424
bert,rslora,72.83,0.751
bert,lora,72.13,0.751
bert,olora,71.19,0.751
bert,mrlora,73.56,0.892
bert,adalora,65.87,0.814
bert,dora,72.09,0.761
bert,mrlora-rs,74.62,0.898
roberta,rslora,74.06,0.751
roberta,lora,73.02,0.751
roberta,olora,72.64,0.751
roberta,mrlora,74.01,0.892
roberta,adalora,62.35,0.814
roberta,dora,72.98,0.761
roberta,mrlora-rs,75.75,0.898
deberta,rslora,75.46,0.155
deberta,lora,75.13,0.155
deberta,olora,75.41,0.155
deberta,mrlora,76.93,0.291
deberta,adalora,70.72,0.223
deberta,dora,74.41,0.164
deberta,mrlora-rs,77.92,0.295
