Model Family,Variant,KD-LoRA,LoRA-only
BERT,adalora,11.476847770067614,16.52391611461124
BERT,dora,5.950362126394797,1.851804925963963
BERT,lora,5.996149036894223,2.0163850020650287
BERT,mrlora,4.745806100216202,1.7963643740937305
BERT,olora,8.400613037214336,2.3906781226990987
BERT,rslora,5.371794951957497,0.5426760129967951
DeBERTa-v3,adalora,14.712666965944997,24.387403523850143
DeBERTa-v3,dora,14.820188341524595,6.22093964277796
DeBERTa-v3,lora,9.930101255763587,6.264153946459686
DeBERTa-v3,mrlora,12.755154465361167,4.544375148730569
DeBERTa-v3,olora,13.441065373678393,4.360969989720865
DeBERTa-v3,rslora,14.474529198310673,3.7015003173001992
RoBERTa,adalora,20.851443735054733,21.39141454224469
RoBERTa,dora,10.870082575268196,3.3362618862652154
RoBERTa,lora,10.908015736138637,3.6846009505761534
RoBERTa,mrlora,10.788300410052006,2.2851047493622456
RoBERTa,olora,10.278134559000847,3.2192393521286653
RoBERTa,rslora,8.000942227532223,8.876329638503764
