Model Family,Variant,KD-LoRA,LoRA-only
BERT,adalora,0.661212588590302,0.65278393279976
BERT,dora,0.7234268936436237,0.7665674666632635
BERT,lora,0.7231926849134369,0.7653447372631523
BERT,mrlora,0.7366327884643915,0.768877411606765
BERT,olora,0.7132311877942046,0.762348007188238
BERT,rslora,0.732509002030546,0.7766096709560336
DeBERTa-v3,adalora,0.7060550131384218,0.6359547279047766
DeBERTa-v3,dora,0.7436612001718206,0.7887473726874926
DeBERTa-v3,lora,0.7508654600690826,0.7883839102219737
DeBERTa-v3,mrlora,0.7676084024050801,0.8032827092329888
DeBERTa-v3,olora,0.7528332327893875,0.8043910160716233
DeBERTa-v3,rslora,0.7518301880502156,0.8099376164481628
RoBERTa,adalora,0.6075631973765719,0.6354513794722877
RoBERTa,dora,0.7156047541655434,0.7808387719357734
RoBERTa,lora,0.7156002948333039,0.7781432985453239
RoBERTa,mrlora,0.7220486064612317,0.7906540806669732
RoBERTa,olora,0.7147749663004984,0.7820488948650812
RoBERTa,rslora,0.7365654389815389,0.7533347232716543
