variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
fft,cola,bert,123,lora,lora,0,eval_matthews_correlation,0.5812018675459495,109.483778,153.8371,1787.917824,1787.917824,9250.537472,9250.537472,166.754,2.613,6769321577545728.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_cola_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,bert,2024,lora,lora,0,eval_matthews_correlation,0.5525485959926528,109.483778,91.8323,1787.425792,1787.425792,3934.257152,3934.257152,279.346,4.378,1692330394386432.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/fft/task_cola_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,bert,42,lora,lora,0,eval_matthews_correlation,0.5520922661403441,109.483778,79.1428,1798.833664,1798.833664,9240.051712,9240.051712,324.136,5.079,6769321577545728.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_cola_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,deberta,123,lora,lora,0,eval_matthews_correlation,0.6458160430668494,184.423682,188.7318,3030.764544,3030.764544,8113.881087999999,8113.881088,135.923,2.13,1692360593375232.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_cola_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,deberta,2024,lora,lora,0,eval_matthews_correlation,0.6604392357653502,184.423682,191.0125,3024.0,3024.0,8516.534272,8516.534272,134.3,2.105,1692360593375232.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_cola_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,deberta,42,lora,lora,0,eval_matthews_correlation,0.667573271492941,184.423682,187.1818,3029.715968,3029.715968,8113.881087999999,8113.881088,137.049,2.148,1692360593375232.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_cola_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,roberta,123,lora,lora,0,eval_matthews_correlation,0.5738347725567007,124.64717,156.5582,2034.3106560000003,2034.310656,9493.807104,9493.807104,163.856,2.568,6769321577545728.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_cola_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,roberta,2024,lora,lora,0,eval_matthews_correlation,0.5988647643057969,124.64717,107.1493,2039.6262400000003,2039.62624,4414.50496,4414.50496,239.414,3.752,1692330394386432.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/fft/task_cola_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,roberta,42,lora,lora,0,eval_matthews_correlation,0.6059289186179461,124.64717,80.021,2041.7638400000003,2041.76384,9502.195712,9502.195712,320.578,5.024,6769321577545728.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_cola_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,bert,123,lora,lora,0,matched_accuracy,0.8327050433010698,109.484547,3278.8582,1792.732672,1792.732672,9256.828928,9256.828928,359.304,5.614,3.0997708406154854e+17,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_mnli_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,bert,2024,lora,lora,0,matched_accuracy,0.8328069281711665,109.484547,6471.793,1791.1377920000002,1791.137792,9240.051712,9240.051712,182.037,2.844,3.0997708406154854e+17,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_mnli_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,bert,42,lora,lora,0,matched_accuracy,0.8329088130412634,109.484547,3308.7803,1787.091968,1787.091968,9313.452032,9313.452032,356.054,5.563,3.0997708406154854e+17,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_mnli_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,deberta,123,lora,lora,0,matched_accuracy,0.891492613346918,184.424451,8029.313,3036.70016,3036.70016,8126.464,8126.464,146.726,2.293,7.74956561423401e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_mnli_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,deberta,2024,lora,lora,0,matched_accuracy,0.8960774325012736,184.424451,7899.9945,3015.822848,3015.822848,8134.852608,8134.852608,149.127,2.33,7.74956561423401e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_mnli_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,deberta,42,lora,lora,0,matched_accuracy,0.8921039225674987,184.424451,8012.7748,3035.9132159999995,3035.913216,7732.199424000001,7732.199424,147.028,2.297,7.74956561423401e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_mnli_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,roberta,123,lora,lora,0,matched_accuracy,0.8709118695873663,124.647939,3514.685,2030.151168,2030.151168,9493.807104,9493.807104,335.195,5.237,3.0997708406154854e+17,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_mnli_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,roberta,2024,lora,lora,0,matched_accuracy,0.8730514518593989,124.647939,4090.6171,2045.782528,2045.782528,4414.50496,4414.50496,288.002,4.5,7.749427101538714e+16,8,16,0.05,"[8, 4, 2, 1]",roberta,results/fft/task_mnli_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
