variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
fft,cola,deberta,123,lora,lora,0,eval_matthews_correlation,0.6458160430668494,184.423682,188.7318,3030.764544,3030.764544,8113.881087999999,8113.881088,135.923,2.13,1692360593375232.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_cola_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,deberta,2024,lora,lora,0,eval_matthews_correlation,0.6604392357653502,184.423682,191.0125,3024.0,3024.0,8516.534272,8516.534272,134.3,2.105,1692360593375232.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_cola_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,deberta,42,lora,lora,0,eval_matthews_correlation,0.667573271492941,184.423682,187.1818,3029.715968,3029.715968,8113.881087999999,8113.881088,137.049,2.148,1692360593375232.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_cola_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,deberta,123,lora,lora,0,matched_accuracy,0.891492613346918,184.424451,8029.313,3036.70016,3036.70016,8126.464,8126.464,146.726,2.293,7.74956561423401e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_mnli_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,deberta,2024,lora,lora,0,matched_accuracy,0.8960774325012736,184.424451,7899.9945,3015.822848,3015.822848,8134.852608,8134.852608,149.127,2.33,7.74956561423401e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_mnli_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,deberta,42,lora,lora,0,matched_accuracy,0.8921039225674987,184.424451,8012.7748,3035.9132159999995,3035.913216,7732.199424000001,7732.199424,147.028,2.297,7.74956561423401e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_mnli_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mrpc,deberta,123,lora,lora,0,eval_accuracy,0.8848039215686274,184.423682,93.0564,3024.524288,3024.524288,8109.686784,8109.686784,118.251,1.87,732514322743296.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_mrpc_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mrpc,deberta,2024,lora,lora,0,eval_accuracy,0.8946078431372549,184.423682,89.8501,3030.764544,3030.764544,8113.881087999999,8113.881088,122.471,1.937,732514322743296.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_mrpc_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mrpc,deberta,42,lora,lora,0,eval_accuracy,0.8970588235294118,184.423682,89.7158,3029.715968,3029.715968,8113.881087999999,8113.881088,122.654,1.939,732514322743296.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_mrpc_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qnli,deberta,123,lora,lora,0,eval_accuracy,0.9348343401061687,184.423682,2165.1549,3036.687872,3036.687872,8126.464,8126.464,145.13,2.268,2.067458528850739e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_qnli_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qnli,deberta,2024,lora,lora,0,eval_accuracy,0.9395936298736958,184.423682,2153.5149,3036.687872,3036.687872,8126.464,8126.464,145.914,2.28,2.067458528850739e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_qnli_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qnli,deberta,42,lora,lora,0,eval_accuracy,0.9368478857770456,184.423682,2122.8564,3035.90144,3035.90144,7732.199424000001,7732.199424,148.022,2.313,2.067458528850739e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_qnli_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,deberta,123,lora,lora,0,eval_accuracy,0.9230274548602523,184.423682,7529.218,3035.90144,3035.90144,7732.199424000001,7732.199424,144.974,2.266,7.181166206307533e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_qqp_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,deberta,2024,lora,lora,0,eval_accuracy,0.9227059114518922,184.423682,7532.0173,3036.687872,3036.687872,8126.464,8126.464,144.92,2.265,7.181166206307533e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_qqp_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,deberta,42,lora,lora,0,eval_accuracy,0.9210981944100916,184.423682,7444.0945,3036.687872,3036.687872,8126.464,8126.464,146.631,2.291,7.181166206307533e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_qqp_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,deberta,123,lora,lora,0,eval_accuracy,0.7870036101083032,184.423682,65.7238,3026.4642560000007,3026.464256,7728.005119999999,7728.00512,113.657,1.78,492552704753664.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_rte_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
