variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
fft,cola,roberta,123,lora,lora,0,eval_matthews_correlation,0.5738347725567007,124.64717,156.5582,2034.3106560000003,2034.310656,9493.807104,9493.807104,163.856,2.568,6769321577545728.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_cola_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,roberta,2024,lora,lora,0,eval_matthews_correlation,0.5988647643057969,124.64717,107.1493,2039.6262400000003,2039.62624,4414.50496,4414.50496,239.414,3.752,1692330394386432.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/fft/task_cola_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,roberta,42,lora,lora,0,eval_matthews_correlation,0.6059289186179461,124.64717,80.021,2041.7638400000003,2041.76384,9502.195712,9502.195712,320.578,5.024,6769321577545728.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_cola_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,roberta,123,lora,lora,0,matched_accuracy,0.8709118695873663,124.647939,3514.685,2030.151168,2030.151168,9493.807104,9493.807104,335.195,5.237,3.0997708406154854e+17,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_mnli_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,roberta,2024,lora,lora,0,matched_accuracy,0.8730514518593989,124.647939,4090.6171,2045.782528,2045.782528,4414.50496,4414.50496,288.002,4.5,7.749427101538714e+16,8,16,0.05,"[8, 4, 2, 1]",roberta,results/fft/task_mnli_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,roberta,42,lora,lora,0,matched_accuracy,0.87396841569027,124.647939,3224.8103,2038.843904,2038.843904,9407.823872,9407.823872,365.326,5.708,3.0997708406154854e+17,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_mnli_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mrpc,roberta,123,lora,lora,0,eval_accuracy,0.8799019607843137,124.64717,38.4266,2038.618112,2038.618112,9493.807104,9493.807104,286.364,4.528,2930004744732672.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_mrpc_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mrpc,roberta,2024,lora,lora,0,eval_accuracy,0.8823529411764706,124.64717,72.1524,2040.7152639999997,2040.715264,9498.001408,9498.001408,152.511,2.412,2930004744732672.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_mrpc_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mrpc,roberta,42,lora,lora,0,eval_accuracy,0.9044117647058824,124.64717,39.6874,2031.018496,2031.018496,9470.738432,9470.738432,277.267,4.384,2930004744732672.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_mrpc_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qnli,roberta,123,lora,lora,0,eval_accuracy,0.9227530660809079,124.64717,888.2293,2032.870912,2032.870912,9518.972928,9518.972928,353.77,5.529,8.269685939031245e+16,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_qnli_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
