Model Family,Strategy,Variant,Average Score,Relative Drop (%),FFT Baseline,Rank
BERT,LoRA-only,adalora,0.65278393279976,16.427034205505855,0.7810946118688131,6
BERT,KD-LoRA,adalora,0.661212588590302,15.347951638238372,0.7810946118688131,6
BERT,LoRA-only,dora,0.7665674666632635,1.8598445034453168,0.7810946118688131,3
BERT,KD-LoRA,dora,0.7234268936436237,7.382936375302368,0.7810946118688131,3
BERT,LoRA-only,lora,0.7653447372631523,2.0163850020650287,0.7810946118688131,4
BERT,KD-LoRA,lora,0.7231926849134369,7.412921056623675,0.7810946118688131,4
BERT,LoRA-only,mrlora,0.768877411606765,1.564112730571492,0.7810946118688131,2
BERT,KD-LoRA,mrlora,0.7366327884643915,5.692245565238785,0.7810946118688131,1
BERT,LoRA-only,olora,0.762348007188238,2.4000427599574374,0.7810946118688131,5
BERT,KD-LoRA,olora,0.7132311877942046,8.688246346014532,0.7810946118688131,5
BERT,LoRA-only,rslora,0.7766096709560336,0.5741866407257676,0.7810946118688131,1
BERT,KD-LoRA,rslora,0.732509002030546,6.220195236275318,0.7810946118688131,2
RoBERTa,LoRA-only,adalora,0.6354513794722877,21.346253393800087,0.807909866841865,6
RoBERTa,KD-LoRA,adalora,0.6075631973765719,24.79814614078821,0.807909866841865,6
RoBERTa,LoRA-only,dora,0.7808387719357734,3.350756812998587,0.807909866841865,3
RoBERTa,KD-LoRA,dora,0.7156047541655434,11.425174572646837,0.807909866841865,3
RoBERTa,LoRA-only,lora,0.7781432985453239,3.684392222228848,0.807909866841865,4
RoBERTa,KD-LoRA,lora,0.7156002948333039,11.425726531772785,0.807909866841865,4
RoBERTa,LoRA-only,mrlora,0.7906540806669732,2.135855357522129,0.807909866841865,1
RoBERTa,KD-LoRA,mrlora,0.7220486064612317,10.627579127887946,0.807909866841865,2
RoBERTa,LoRA-only,olora,0.7820488948650812,3.2009724151377013,0.807909866841865,2
RoBERTa,KD-LoRA,olora,0.7147749663004984,11.52788254776894,0.807909866841865,5
RoBERTa,LoRA-only,rslora,0.7533347232716543,6.75510298983549,0.807909866841865,5
RoBERTa,KD-LoRA,rslora,0.7365654389815389,8.830741000752083,0.807909866841865,1
DeBERTa-v3,LoRA-only,adalora,0.6359547279047766,24.387403523850143,0.8410698184466829,6
DeBERTa-v3,KD-LoRA,adalora,0.7060550131384218,16.052746436391118,0.8410698184466829,6
DeBERTa-v3,LoRA-only,dora,0.7887473726874926,6.22093964277796,0.8410698184466829,4
DeBERTa-v3,KD-LoRA,dora,0.7436612001718206,11.581513940752266,0.8410698184466829,5
DeBERTa-v3,LoRA-only,lora,0.7883839102219737,6.264153946459686,0.8410698184466829,5
DeBERTa-v3,KD-LoRA,lora,0.7508654600690826,10.724954860964203,0.8410698184466829,4
DeBERTa-v3,LoRA-only,mrlora,0.8032827092329888,4.492743454221274,0.8410698184466829,3
DeBERTa-v3,KD-LoRA,mrlora,0.7676084024050801,8.734282746856135,0.8410698184466829,1
DeBERTa-v3,LoRA-only,olora,0.8043910160716233,4.360969989720865,0.8410698184466829,2
DeBERTa-v3,KD-LoRA,olora,0.7528332327893875,10.490994174568506,0.8410698184466829,2
DeBERTa-v3,LoRA-only,rslora,0.8099376164481628,3.7015003173001992,0.8410698184466829,1
DeBERTa-v3,KD-LoRA,rslora,0.7518301880502156,10.610252376108106,0.8410698184466829,3
