training_variant,model_family,task,method,metric_name,mean_value
kd-lora,bert,wnli,adalora,eval_accuracy,42.25352112676056
kd-lora,bert,wnli,olora,eval_accuracy,48.356807511737095
kd-lora,bert,wnli,rslora,eval_accuracy,49.53051643192488
kd-lora,bert,wnli,lora,eval_accuracy,50.0
kd-lora,bert,wnli,mrlora,eval_accuracy,53.75586854460095
kd-lora,bert,wnli,dora,eval_accuracy,49.76525821596244
kd-lora,bert,wnli,mrlora-rs,eval_accuracy,51.40845070422536
kd-lora,deberta,mnli,adalora,matched_accuracy,84.43199184921039
kd-lora,deberta,mnli,adalora,mismatched_accuracy,85.23189585028479
kd-lora,deberta,mnli,olora,matched_accuracy,85.79317371370351
kd-lora,deberta,mnli,olora,mismatched_accuracy,85.81773799837266
kd-lora,deberta,mnli,rslora,matched_accuracy,85.93377483443709
kd-lora,deberta,mnli,rslora,mismatched_accuracy,85.9967453213995
kd-lora,deberta,mnli,lora,matched_accuracy,85.51197147223635
kd-lora,deberta,mnli,lora,mismatched_accuracy,85.5553295362083
kd-lora,deberta,mnli,mrlora,matched_accuracy,87.17473255221599
kd-lora,deberta,mnli,mrlora,mismatched_accuracy,86.67005695687551
kd-lora,deberta,mnli,dora,matched_accuracy,85.51604686704025
kd-lora,deberta,mnli,dora,mismatched_accuracy,85.63873067534583
kd-lora,deberta,mnli,mrlora-rs,matched_accuracy,87.45797249108507
kd-lora,deberta,mnli,mrlora-rs,mismatched_accuracy,87.17046379170057
kd-lora,deberta,cola,olora,eval_matthews_correlation,47.9079294524224
kd-lora,deberta,cola,rslora,eval_matthews_correlation,50.933040497195826
kd-lora,deberta,cola,lora,eval_matthews_correlation,44.74805625611597
kd-lora,deberta,cola,mrlora,eval_matthews_correlation,56.02117271223184
kd-lora,deberta,cola,dora,eval_matthews_correlation,44.631860254028126
kd-lora,deberta,cola,mrlora-rs,eval_matthews_correlation,56.6820709593389
kd-lora,roberta,mrpc,olora,eval_accuracy,70.66993464052288
kd-lora,roberta,mrpc,olora,eval_f1,82.12188252274815
kd-lora,roberta,mrpc,rslora,eval_accuracy,70.58823529411765
kd-lora,roberta,mrpc,rslora,eval_f1,82.09349044556986
kd-lora,roberta,mrpc,lora,eval_accuracy,71.20098039215686
kd-lora,roberta,mrpc,lora,eval_f1,82.33515238291069
kd-lora,roberta,mrpc,mrlora,eval_accuracy,71.03758169934639
kd-lora,roberta,mrpc,mrlora,eval_f1,82.18588909495271
kd-lora,roberta,mrpc,dora,eval_accuracy,71.11928104575163
kd-lora,roberta,mrpc,dora,eval_f1,82.30296123375878
kd-lora,roberta,mrpc,mrlora-rs,eval_accuracy,76.47058823529412
kd-lora,roberta,mrpc,mrlora-rs,eval_f1,85.06927163004696
kd-lora,bert,cola,adalora,eval_matthews_correlation,11.382192951310593
kd-lora,bert,cola,olora,eval_matthews_correlation,44.36931040279899
kd-lora,bert,cola,rslora,eval_matthews_correlation,44.79885284280279
kd-lora,bert,cola,lora,eval_matthews_correlation,39.04703910720947
kd-lora,bert,cola,mrlora,eval_matthews_correlation,43.513295847081466
kd-lora,bert,cola,dora,eval_matthews_correlation,40.3342629173358
kd-lora,bert,cola,mrlora-rs,eval_matthews_correlation,46.287737784816194
kd-lora,deberta,qqp,adalora,eval_accuracy,87.18773188226565
kd-lora,deberta,qqp,adalora,eval_f1,82.51006529210481
kd-lora,deberta,qqp,olora,eval_accuracy,88.57729408854811
kd-lora,deberta,qqp,olora,eval_f1,84.22652655871795
kd-lora,deberta,qqp,rslora,eval_accuracy,88.22211229285185
kd-lora,deberta,qqp,rslora,eval_f1,83.29535488013506
kd-lora,deberta,qqp,lora,eval_accuracy,88.07271827850606
kd-lora,deberta,qqp,lora,eval_f1,83.25870058100247
kd-lora,deberta,qqp,mrlora,eval_accuracy,89.82043037348504
kd-lora,deberta,qqp,mrlora,eval_f1,86.29579719083932
kd-lora,deberta,qqp,dora,eval_accuracy,88.08854810784071
kd-lora,deberta,qqp,dora,eval_f1,83.27644142519478
kd-lora,deberta,qqp,mrlora-rs,eval_accuracy,90.37397971803117
kd-lora,deberta,qqp,mrlora-rs,eval_f1,87.03275408780067
kd-lora,bert,sst2,rslora,eval_accuracy,89.28899082568809
kd-lora,bert,sst2,lora,eval_accuracy,88.83027522935778
kd-lora,bert,sst2,olora,eval_accuracy,89.0137614678899
kd-lora,bert,sst2,mrlora,eval_accuracy,90.61926605504587
kd-lora,bert,sst2,dora,eval_accuracy,88.80733944954129
kd-lora,bert,sst2,mrlora-rs,eval_accuracy,90.3211009174312
kd-lora,deberta,sst2,olora,eval_accuracy,93.4633027522936
kd-lora,deberta,sst2,rslora,eval_accuracy,93.50917431192661
kd-lora,deberta,sst2,lora,eval_accuracy,93.50917431192661
kd-lora,deberta,sst2,mrlora,eval_accuracy,93.78440366972477
kd-lora,deberta,sst2,dora,eval_accuracy,93.57798165137613
kd-lora,deberta,sst2,mrlora-rs,eval_accuracy,94.22018348623853
kd-lora,bert,mrpc,olora,eval_accuracy,71.16013071895425
kd-lora,bert,mrpc,olora,eval_f1,82.08100926280562
kd-lora,bert,mrpc,rslora,eval_accuracy,71.65032679738562
kd-lora,bert,mrpc,rslora,eval_f1,82.03628629438074
kd-lora,bert,mrpc,lora,eval_accuracy,71.56862745098039
kd-lora,bert,mrpc,lora,eval_f1,82.6174226463066
kd-lora,bert,mrpc,mrlora,eval_accuracy,71.69117647058823
kd-lora,bert,mrpc,mrlora,eval_f1,82.6970273333674
kd-lora,bert,mrpc,dora,eval_accuracy,71.609477124183
kd-lora,bert,mrpc,dora,eval_f1,82.6380710047621
kd-lora,bert,mrpc,mrlora-rs,eval_accuracy,80.22875816993465
kd-lora,bert,mrpc,mrlora-rs,eval_f1,86.94996112439894
kd-lora,roberta,qqp,olora,eval_accuracy,86.61925962569049
kd-lora,roberta,qqp,olora,eval_f1,82.1346506285332
kd-lora,roberta,qqp,rslora,eval_accuracy,86.8775661637398
kd-lora,roberta,qqp,rslora,eval_f1,82.09904159705438
kd-lora,roberta,qqp,lora,eval_accuracy,86.3550169016407
kd-lora,roberta,qqp,lora,eval_f1,81.73538761901324
kd-lora,roberta,qqp,mrlora,eval_accuracy,87.96982438783083
kd-lora,roberta,qqp,mrlora,eval_f1,83.73094082745067
kd-lora,roberta,qqp,dora,eval_accuracy,86.4366394591475
kd-lora,roberta,qqp,dora,eval_f1,81.90282669890576
kd-lora,roberta,qqp,mrlora-rs,eval_accuracy,88.61835270838488
kd-lora,roberta,qqp,mrlora-rs,eval_f1,84.62691630532753
kd-lora,roberta,cola,rslora,eval_matthews_correlation,41.89686075810246
kd-lora,roberta,cola,lora,eval_matthews_correlation,39.89003276135163
kd-lora,roberta,cola,olora,eval_matthews_correlation,36.59827967982617
kd-lora,roberta,cola,mrlora,eval_matthews_correlation,45.18352501657074
kd-lora,roberta,cola,dora,eval_matthews_correlation,39.83230617080259
kd-lora,roberta,cola,mrlora-rs,eval_matthews_correlation,48.85930853888699
kd-lora,bert,mnli,adalora,matched_accuracy,75.43046357615894
kd-lora,bert,mnli,adalora,mismatched_accuracy,76.65276647681041
kd-lora,bert,mnli,olora,matched_accuracy,77.48140601120734
kd-lora,bert,mnli,olora,mismatched_accuracy,78.76118795768917
kd-lora,bert,mnli,rslora,matched_accuracy,78.31686194600101
kd-lora,bert,mnli,rslora,mismatched_accuracy,79.04190398698128
kd-lora,bert,mnli,lora,matched_accuracy,77.35710646968926
kd-lora,bert,mnli,lora,mismatched_accuracy,78.65541090317332
kd-lora,bert,mnli,mrlora,matched_accuracy,79.83902190524707
kd-lora,bert,mnli,mrlora,mismatched_accuracy,80.36411716842962
kd-lora,bert,mnli,dora,matched_accuracy,77.58532857870605
kd-lora,bert,mnli,dora,mismatched_accuracy,78.66151342554922
kd-lora,bert,mnli,mrlora-rs,matched_accuracy,80.50738665308202
kd-lora,bert,mnli,mrlora-rs,mismatched_accuracy,81.13710333604557
kd-lora,roberta,mrpc,adalora,eval_accuracy,67.8921568627451
kd-lora,roberta,mrpc,adalora,eval_f1,80.87591240875913
kd-lora,roberta,rte,olora,eval_accuracy,56.2575210589651
kd-lora,roberta,rte,rslora,eval_accuracy,55.8965102286402
kd-lora,roberta,rte,lora,eval_accuracy,55.054151624548744
kd-lora,roberta,rte,mrlora,eval_accuracy,57.76173285198557
kd-lora,roberta,rte,dora,eval_accuracy,55.114320096269566
kd-lora,roberta,rte,mrlora-rs,eval_accuracy,60.34897713598074
kd-lora,bert,qnli,adalora,eval_accuracy,84.11129416071755
kd-lora,bert,qnli,olora,eval_accuracy,86.93025809994509
kd-lora,bert,qnli,rslora,eval_accuracy,86.96686802123375
kd-lora,bert,qnli,lora,eval_accuracy,86.18280554030142
kd-lora,bert,qnli,mrlora,eval_accuracy,86.69229361156874
kd-lora,bert,qnli,dora,eval_accuracy,86.28043199707122
kd-lora,bert,qnli,mrlora-rs,eval_accuracy,88.35499420342913
kd-lora,roberta,wnli,olora,eval_accuracy,54.46009389671362
kd-lora,roberta,wnli,rslora,eval_accuracy,56.33802816901409
kd-lora,roberta,wnli,lora,eval_accuracy,53.75586854460095
kd-lora,roberta,wnli,mrlora,eval_accuracy,49.06103286384977
kd-lora,roberta,wnli,dora,eval_accuracy,53.75586854460095
kd-lora,roberta,wnli,mrlora-rs,eval_accuracy,54.46009389671362
kd-lora,bert,sst2,adalora,eval_accuracy,88.18807339449542
kd-lora,bert,stsb,adalora,eval_pearson,53.999908538711175
kd-lora,bert,stsb,adalora,eval_spearman,52.79395965389565
kd-lora,bert,stsb,olora,eval_pearson,76.93476297289335
kd-lora,bert,stsb,olora,eval_spearman,76.80094627568505
kd-lora,bert,stsb,rslora,eval_pearson,82.89272567235825
kd-lora,bert,stsb,rslora,eval_spearman,82.73233628461098
kd-lora,bert,stsb,lora,eval_pearson,82.88251455250612
kd-lora,bert,stsb,lora,eval_spearman,82.6388957911319
kd-lora,bert,stsb,mrlora,eval_pearson,83.39172574489055
kd-lora,bert,stsb,mrlora,eval_spearman,83.17463617562018
kd-lora,bert,stsb,dora,eval_pearson,82.72793547750584
kd-lora,bert,stsb,dora,eval_spearman,82.48203147536304
kd-lora,bert,stsb,mrlora-rs,eval_pearson,84.83264432499628
kd-lora,bert,stsb,mrlora-rs,eval_spearman,84.50696562389102
kd-lora,deberta,qnli,olora,eval_accuracy,90.26176093721396
kd-lora,deberta,qnli,rslora,eval_accuracy,91.03972176459821
kd-lora,deberta,qnli,lora,eval_accuracy,90.17328696076636
kd-lora,deberta,qnli,mrlora,eval_accuracy,91.33870278845568
kd-lora,deberta,qnli,dora,eval_accuracy,90.15193117334798
kd-lora,deberta,qnli,mrlora-rs,eval_accuracy,91.92751235584844
kd-lora,roberta,qnli,adalora,eval_accuracy,85.15467691744463
kd-lora,roberta,qnli,olora,eval_accuracy,87.48245774604916
kd-lora,roberta,qnli,rslora,eval_accuracy,88.32143510891451
kd-lora,roberta,qnli,lora,eval_accuracy,87.52516932088596
kd-lora,roberta,qnli,mrlora,eval_accuracy,88.4526206601989
kd-lora,roberta,qnli,dora,eval_accuracy,87.29635731283177
kd-lora,roberta,qnli,mrlora-rs,eval_accuracy,89.22753066080908
kd-lora,deberta,mrpc,olora,eval_accuracy,68.38235294117646
kd-lora,deberta,mrpc,olora,eval_f1,81.22270742358079
kd-lora,deberta,mrpc,rslora,eval_accuracy,69.03594771241829
kd-lora,deberta,mrpc,rslora,eval_f1,81.5116327574586
kd-lora,deberta,mrpc,lora,eval_accuracy,68.38235294117646
kd-lora,deberta,mrpc,lora,eval_f1,81.22270742358079
kd-lora,deberta,mrpc,mrlora,eval_accuracy,70.13888888888889
kd-lora,deberta,mrpc,mrlora,eval_f1,81.96204037417117
kd-lora,deberta,mrpc,dora,eval_accuracy,68.38235294117646
kd-lora,deberta,mrpc,dora,eval_f1,81.22270742358079
kd-lora,deberta,mrpc,mrlora-rs,eval_accuracy,77.45098039215685
kd-lora,deberta,mrpc,mrlora-rs,eval_f1,85.54206099333528
kd-lora,roberta,sst2,adalora,eval_accuracy,89.56422018348624
kd-lora,roberta,sst2,olora,eval_accuracy,90.75688073394495
kd-lora,roberta,sst2,rslora,eval_accuracy,91.58256880733946
kd-lora,roberta,sst2,lora,eval_accuracy,91.19266055045871
kd-lora,roberta,sst2,mrlora,eval_accuracy,91.85779816513761
kd-lora,roberta,sst2,dora,eval_accuracy,91.10091743119267
kd-lora,roberta,sst2,mrlora-rs,eval_accuracy,91.60550458715596
kd-lora,roberta,stsb,adalora,eval_pearson,33.964885699576506
kd-lora,roberta,stsb,adalora,eval_spearman,30.435394975724794
kd-lora,roberta,stsb,olora,eval_pearson,82.31305095210372
kd-lora,roberta,stsb,olora,eval_spearman,81.93898833707208
kd-lora,roberta,stsb,rslora,eval_pearson,81.51611638459933
kd-lora,roberta,stsb,rslora,eval_spearman,80.96138098206585
