peft,strategy,trainable_params_millions,metric_value,train_time,performance_per_param
adalora,KD-LoRA,0.6783,0.6252,171.9821,0.9217160548429898
adalora,LoRA-only,0.7081,0.6252,345.5646,0.8829261403756532
dora,KD-LoRA,0.6072,0.7017,204.8134,1.1556324110671938
dora,LoRA-only,0.5658,0.7601,356.4237,1.3434075645104278
lora,KD-LoRA,0.5971,0.7035,169.6443,1.1781946072684644
lora,LoRA-only,0.537,0.7684,337.3417,1.4309124767225325
mrlora,KD-LoRA,0.7391,0.7192,224.6751,0.9730753619266675
mrlora,LoRA-only,0.8295,0.7808,583.7311,0.941289933694997
mrlora-rs,LoRA-only,0.8155,0.7924,1014.1294,0.9716738197424892
olora,KD-LoRA,0.5971,0.7023,171.2971,1.1761848936526547
olora,LoRA-only,0.5426,0.7773,294.5736,1.432546995945448
rslora,KD-LoRA,0.5971,0.7147,154.3286,1.1969519343493553
rslora,LoRA-only,0.5456,0.7666,254.6548,1.405058651026393
