Task,adalora,dora,lora,mrlora,olora,rslora
cola,0.009074171210465568,0.020225398297820912,0.004349011062436324,0.0,0.012626305516033248,0.005063041977099059
mnli_m,0.0002037697401935934,0.000916963830871087,0.0015871382503715734,0.0,0.00015282730514515341,0.001884870096790614
mnli_mm,0.0008136696501220841,0.00035598047192841875,0.000887971308225445,0.0,0.0006102522375915354,0.0013222131814483729
mrpc,1.1102230246251565e-16,0.008087822660630416,0.013324760155473936,0.002450980392156854,0.012497596847041131,0.004002434220233937
qnli,0.0027921315976930177,0.0008757520345602416,0.001244498020280168,0.0,0.000995149577783853,0.002218519612264061
qqp,7.645822817623488e-05,0.0008778188905404653,0.001042946754504448,0.0,0.0007698098013183308,0.0004823151125402103
rte,0.012848469617366194,0.0,0.020064178099317764,0.014440433212996373,0.03553507355050156,0.02063348760467178
sst2,0.0034403669724770714,0.002866972477064189,0.004954694723553414,0.0,0.0,0.004013761467889898
stsb,0.010598298570907771,0.0009777451127654935,0.002934187979987656,0.0,0.002871473093707111,0.00043103598309574
wnli,0.05975550263548292,0.0,0.0,0.007042253521126751,0.0,0.013279000585662847
