Model Family,bert,bert,bert,roberta,roberta,roberta,deberta,deberta,deberta
Strategy,fft,lora,kd-lora,fft,lora,kd-lora,fft,lora,kd-lora
mnli_m,,0.8283239938869078,0.7966377992868059,,,,,,
mnli_mm,,0.8297396257119609,0.8025834011391375,,,,,,
mrpc,,0.803921568627451,0.7181372549019608,,0.8186274509803921,0.7328431372549019,,0.7867647058823529,0.6838235294117647
qnli,,0.9026176093721399,0.8691195313930075,,0.919092073952041,0.8865092440051254,,0.9412410763316859,0.9112209408749771
qqp,,0.8861241652238436,0.8754142963146179,,0.8920850853326737,0.8790502102399208,,0.9084343309423695,0.8980707395498392
rte,,0.592057761732852,0.5703971119133574,,0.6425992779783394,0.5487364620938628,,0.631768953068592,0.5270758122743683
stsb,,0.8731845369125399,,,0.8715573304320839,,,,
wnli,,0.5774647887323944,0.5633802816901409,,0.5633802816901409,0.30985915492957744,,0.5633802816901409,0.5633802816901409
Average,,0.7866792562750112,0.7422385252341469,,0.7845569167276119,0.6713996417046777,,0.7663178695830283,0.716714260760218
