Model Family,bert,bert,bert,roberta,roberta,roberta,deberta,deberta,deberta
Strategy,FFT,LoRA,KD-LoRA,FFT,LoRA,KD-LoRA,FFT,LoRA,KD-LoRA
cola,0.5619475765596488,0.49851876406052664,0.42965425279033936,0.5928761518268145,0.537939526358259,0.45575081282407703,0.6579428501083803,0.6333286972323947,0.5544735040391463
sst2,0.9197247706422019,0.9174311926605505,0.9094036697247706,0.9327217125382262,0.9397935779816513,0.9174311926605506,0.9568042813455658,0.9575688073394495,0.9384556574923547
mrpc,0.8570261437908497,0.8014705882352942,0.7181372549019608,0.8888888888888888,0.8088235294117647,0.7328431372549019,0.8921568627450981,0.7867647058823529,0.6838235294117647
qqp,0.9100420479841702,0.8861241652238436,0.8754142963146179,0.9061093247588424,0.8920850853326737,0.8790502102399208,0.922277186907412,0.9084343309423695,0.8980707395498392
stsb,0.8821406655140976,0.8731845369125399,0.8332290341006741,0.9018178746771047,0.8715573304320839,0.8462931238382725,0.9035594680738638,0.8610969349410484,0.8632664453069752
qnli,0.9067057172493747,0.9026176093721399,0.8691195313930075,0.9253157605711149,0.9203734211971444,0.8865092440051254,0.93709195191897,0.9390444810543657,0.9112209408749771
rte,0.6209386281588448,0.5776173285198556,0.5703971119133574,0.6762936221419976,0.6353790613718412,0.5487364620938628,0.7978339350180504,0.5794223826714802,0.5270758122743683
wnli,0.48356807511737093,0.5704225352112676,0.5633802816901409,0.511737089201878,0.5633802816901409,0.30985915492957744,0.5539906103286385,0.5633802816901409,0.5633802816901409
mnli_m,0.8328069281711666,0.829071149600951,0.7958227203260316,0.8726439123790118,0.8669893020886399,0.8195958566819493,0.8932246561385634,0.901681100356597,0.8707760230939039
mnli_mm,0.8360455655004069,0.8323162462706808,0.8017697314890154,0.8706943314347707,0.870219690805533,0.8244168700840792,0.8958163818822892,0.9021053702196908,0.8655410903173312
Average,0.7810946118688131,0.768877411606765,0.7366327884643915,0.807909866841865,0.7906540806669732,0.7220486064612317,0.8410698184466829,0.8032827092329888,0.7676084024050801
