,FFT,adalora,dora,lora,mrlora,mrlora-rs,olora,rslora
cola,0.5619475765596488,0.006049447473643711,0.5000114619629051,0.5154668571835651,0.4997292188172873,0.516724339525393,0.4841975352265037,0.5251874358438748
sst2,0.9197247706422019,0.9059633027522935,0.9134174311926606,0.908256880733945,0.9174311926605505,0.9111238532110092,0.9071100917431193,0.9157110091743119
mrpc,0.8570261437908497,0.6838235294117648,0.7834967320261438,0.7736928104575164,0.7998366013071895,0.8235294117647058,0.7867647058823529,0.8210784313725489
qqp,0.9100420479841702,0.8629812845246928,0.8831972957374887,0.8822656443235221,0.8866188473905515,0.8914667326242889,0.8832055404402671,0.8876082117239674
stsb,0.8821406655140976,0.5376930205505431,0.8739683518716159,0.8693868941043755,0.8743431162633346,,0.8721491372878726,0.878791420227068
qnli,0.9067057172493747,0.8740618707669778,0.8997498322045274,0.9018243944108854,0.9021904936237721,0.9080175727622186,0.9025565928366587,0.9051192873268655
rte,0.6209386281588448,0.555956678700361,0.5956678700361011,0.5908543922984356,0.5956678700361011,0.6119133574007221,0.5800240673886884,0.6028880866425993
wnli,0.48356807511737093,0.4788732394366197,0.5633802816901409,0.5633802816901409,0.568075117370892,0.5633802816901409,0.5633802816901409,0.5727699530516431
mnli_m,0.8328069281711666,0.7999999999999999,0.8230939038886058,0.8200713194090677,0.829071149600951,0.8240448293428426,0.8206826286296485,0.8241127525895737
mnli_mm,0.8360455655004069,0.8131950094928125,0.8288920531597505,0.8282478980200705,0.8323162462706808,0.8311635475996746,0.8271291022511527,0.8307228098725251
Average,0.7810946118688131,0.6518597383109708,0.7664875213769939,0.7653447372631523,0.770527985334131,0.7645959917689995,0.7627199683376404,0.7763989397824977
