,FFT,adalora,dora,lora,mrlora,mrlora-rs,olora,rslora
cola,0.5619475765596488,0.12866598948754612,0.3960724705243283,0.3972638321392334,0.42965425279033936,0.45031026323351586,0.44915983450566355,0.44680231362258627
sst2,0.9197247706422019,0.8803516819571865,0.8887614678899083,0.8891437308868501,0.9094036697247706,0.9048165137614679,0.8845565749235474,0.8906727828746178
mrpc,0.8570261437908497,0.7095588235294118,0.7156862745098039,0.7156862745098039,0.7132352941176471,0.7977941176470589,0.7144607843137255,0.7071078431372549
qqp,0.9100420479841702,0.8482067771456838,0.8591021518674251,0.859312391788276,0.8748948800395746,0.8802127133316844,0.8598812762799901,0.8626391293593866
stsb,0.8821406655140976,0.5541208514078366,0.8214715336018122,0.8206657645790169,0.8332290341006741,0.8493511393595973,0.6883094415375638,0.826031456812455
qnli,0.9067057172493747,0.8422722557813168,0.8627738117029716,0.8611873817804625,0.8669229361156874,0.8821770699859662,0.8673500518640552,0.8735127219476478
rte,0.6209386281588448,0.5685920577617328,0.5740072202166064,0.5767148014440433,0.5694945848375451,0.5830324909747292,0.5767148014440433,0.5785198555956679
wnli,0.48356807511737093,0.5035211267605634,0.5,0.5035211267605634,0.528169014084507,0.4894366197183099,0.49295774647887325,0.5
mnli_m,0.8328069281711666,0.7540499235863475,0.775989132280523,0.7734759721514689,0.7958227203260316,0.8032603158430973,0.7715401596196299,0.7814229920190185
mnli_mm,0.8360455655004069,0.7664090046107948,0.7863100081366965,0.7866829400596691,0.8017697314890154,0.8074654190398698,0.785225115269867,0.7869202603742881
Average,0.7810946118688131,0.6555748492028419,0.7180174070730075,0.7183654216099388,0.7322596117625793,0.7447856662895297,0.7090155786236959,0.7253629355742923
