,FFT,adalora,dora,lora,mrlora,mrlora-rs,olora,rslora
cola,0.6579428501083803,0.0,0.6240513981485547,0.6231971283154348,0.6299447899154226,0.6626470774380079,0.6141116330221607,0.6198865849135515
sst2,0.9568042813455658,0.9277522935779816,0.9524082568807339,0.9501146788990826,0.9575688073394495,0.9512614678899083,0.9529816513761469,0.9524082568807339
mrpc,0.8921568627450981,0.6838235294117648,0.7745098039215685,0.7655228758169934,0.7851307189542484,0.8651960784313726,0.8071895424836603,0.8210784313725491
qqp,0.922277186907412,0.8889933217907494,0.9050952263170912,0.9040893725781185,0.9076840629895292,,0.9052024074532113,0.9094814081952345
stsb,0.9035594680738638,0.06283431276284084,0.5747774872991888,0.8194256587284968,0.8448336140241576,,0.8623357442094522,0.5920081338861439
qnli,0.93709195191897,0.9147598999328818,0.9373360180608946,0.9376411007383001,0.9394715968027336,0.9432546220025627,0.9367258527060834,0.941302092867167
rte,0.7978339350180504,0.5270758122743683,0.5270758122743683,0.5270758122743683,0.6125150421179302,0.6606498194945849,0.6004813477737666,0.6233453670276775
wnli,0.5539906103286385,0.539906103286385,0.5633802816901409,0.5633802816901409,0.5633802816901409,0.5633802816901409,0.5633802816901409,0.5633802816901409
mnli_m,0.8932246561385634,0.8952963151638649,0.9017150619799627,0.9008660213958227,0.9025980641874681,0.9016811003565971,0.8988283239938869,0.9006282900322636
mnli_mm,0.8958163818822892,0.8941212367778681,0.9010035259018171,0.9008340113913751,0.9019867100623813,0.9020545158665582,0.8980539734201248,0.9008679142934636
Average,0.8410698184466829,0.6334562824978704,0.7661352872474321,0.7892146941828132,0.8045113688083461,0.8062656203962166,0.8039290758128633,0.7824386761158926
