,FFT,adalora,dora,lora,mrlora,mrlora-rs,olora,rslora
cola,0.6579428501083803,0.1001983630851316,0.4506619722150307,0.45356781340354196,0.5544735040391463,0.5580435869782275,0.4691045276344325,0.506639073242149
sst2,0.9568042813455658,0.9216360856269112,0.9342507645259938,0.9357798165137615,0.9384556574923547,0.9415137614678899,0.9327217125382262,0.9350152905198778
mrpc,0.8921568627450981,0.6838235294117647,0.6838235294117647,0.6838235294117647,0.6838235294117647,0.7107843137254902,0.6838235294117647,0.6838235294117647
qqp,0.922277186907412,0.8722977986643582,0.8785802621815484,0.8794583230274549,0.8980707395498392,0.9029186247835765,0.8858026218154835,0.879940638139995
stsb,0.9035594680738638,0.8181875304632904,0.7809808466085383,0.8491880766438389,0.8632664453069752,0.841799631620558,0.8504586145918854,0.7911979532747727
qnli,0.93709195191897,0.8846177314052107,0.9032277747269509,0.9031057416559888,0.9142107511135519,0.9190310574165599,0.9001769479528953,0.9092073952041003
rte,0.7978339350180504,0.5270758122743683,0.5270758122743683,0.5270758122743683,0.5270758122743683,0.5980746089049339,0.5306859205776173,0.5523465703971119
wnli,0.5539906103286385,0.5211267605633804,0.5211267605633804,0.5211267605633804,0.5211267605633804,0.5211267605633804,0.5211267605633804,0.5211267605633804
mnli_m,0.8932246561385634,0.842282221090168,0.8542706741382239,0.8542367125148581,0.8707760230939039,0.8745797249108508,0.856783834267278,0.8583800305654611
mnli_mm,0.8958163818822892,0.8493694060211553,0.8558448603200434,0.854759967453214,0.8655410903173312,0.8736777868185517,0.85784513154326,0.8590656360184431
Average,0.8410698184466829,0.702061523860574,0.7389843256965842,0.7462122553462172,0.7636820313162616,0.774154985719002,0.7488529600896222,0.7496742877337056
