,FFT,adalora,dora,lora,mrlora,mrlora-rs,olora,rslora
cola,0.5928761518268145,0.0,0.5300059637272778,0.5046330570516372,0.537939526358259,0.5248238000772837,0.4844735527308641,0.5195428783457039
sst2,0.9327217125382262,0.9288990825688073,0.9346330275229358,0.9340596330275229,0.9397935779816513,0.9420871559633027,0.9386467889908257,0.9334862385321101
mrpc,0.8888888888888888,0.6838235294117648,0.7630718954248366,0.7622549019607844,0.8145424836601306,,0.7892156862745098,0.8153594771241831
qqp,0.9061093247588424,0.8667408689916728,0.8889026300601864,0.8883584796768077,0.8914749773270674,,0.8872042212878225,0.8932393437216589
stsb,0.9018178746771047,0.25650610135538104,0.8679143375412376,0.8704352895854685,0.8719152219774405,,0.8740902285086355,0.8781160444566544
qnli,0.9253157605711149,0.8952346085789249,0.9184819085972299,0.919092073952041,0.9215937519067667,,0.9192141070230032,0.9138446519006651
rte,0.6762936221419976,0.5403128760529482,0.614921780986763,0.6101083032490975,0.631768953068592,,0.6438026474127557,0.6233453670276775
wnli,0.511737089201878,0.4741784037558685,0.5586854460093896,0.5586854460093896,0.5633802816901409,,0.5586854460093896,0.5633802816901409
mnli_m,0.8726439123790118,0.8488028527763628,0.864798777381559,0.8651044319918492,0.8657836644591611,0.8680081507896078,0.8626931567328918,0.6977075904228222
mnli_mm,0.8706943314347707,0.8502169785733659,0.8650325467860048,0.86642256577163,0.8696433414700299,0.86803295362083,0.861235421752102,0.6953824247355573
Average,0.807909866841865,0.6344715302065096,0.7806448314037421,0.7779154182276228,0.7907835779899239,0.8007380151127561,0.78192612567228,0.7533404297957174
