,FFT,adalora,dora,lora,mrlora,olora,rslora
cola,0.5928761518268145,0.0,0.4046656809197329,0.40562779076221683,0.45575081282407703,0.3598832011165811,0.41299413436837534
sst2,0.9327217125382262,0.8918195718654435,0.9094036697247706,0.9101681957186544,0.9174311926605506,0.9063455657492354,0.9159021406727829
mrpc,0.8888888888888888,0.678921568627451,0.7132352941176471,0.7132352941176471,0.7328431372549019,0.7083333333333334,0.7132352941176471
qqp,0.9061093247588424,0.8479841701706653,0.8632451150136038,0.8625278258718774,0.8790502102399208,0.8635666584219639,0.8679198614889934
stsb,0.9018178746771047,0.2843007682016843,0.8279744416702421,0.8275107971336504,0.8462931238382725,0.828909567551957,0.8417113176020995
qnli,0.9253157605711149,0.8592348526450668,0.8777228628958448,0.8775398132894014,0.8865092440051254,0.8791872597473915,0.8833974006955885
rte,0.6762936221419976,0.5270758122743683,0.5487364620938628,0.5487364620938628,0.5487364620938628,0.5523465703971119,0.5451263537906137
wnli,0.511737089201878,0.4225352112676056,0.4084507042253521,0.4084507042253521,0.30985915492957744,0.4507042253521127,0.5633802816901409
mnli_m,0.8726439123790118,0.777755136695534,0.7976906096111395,0.7974528782475803,0.8195958566819493,0.79544914246901,0.8067923246731193
mnli_mm,0.8706943314347707,0.7860048820179008,0.8049227013832384,0.8047531868727963,0.8244168700840792,0.803024138866287,0.8151952807160293
Average,0.807909866841865,0.6075631973765719,0.7156047541655434,0.7156002948333039,0.7220486064612317,0.7147749663004984,0.7365654389815389
