,FFT,adalora,dora,lora,mrlora,mrlora-rs,olora,rslora
cola,0.5619475765596488,0.12866598948754612,0.3960724705243283,0.3972638321392334,0.42965425279033936,0.45031026323351586,0.44915983450566355,0.44680231362258627
sst2,0.9197247706422019,0.8803516819571865,0.8887614678899083,0.8891437308868501,0.9094036697247706,0.9048165137614679,0.8845565749235474,0.8906727828746178
mrpc,0.8570261437908497,0.7095588235294118,0.7156862745098039,0.7156862745098039,0.7132352941176471,0.7977941176470589,0.7144607843137255,0.7071078431372549
qqp,0.9100420479841702,0.8482067771456838,0.8591021518674251,0.859312391788276,0.8748948800395746,0.8802127133316844,0.8598812762799901,0.8626391293593866
stsb,0.8821406655140976,0.5541208514078366,0.8214715336018122,0.8206657645790169,0.8332290341006741,0.8493511393595973,0.6883094415375638,0.826031456812455
qnli,0.9067057172493747,0.8422722557813168,0.8627738117029716,0.8611873817804625,0.8669229361156874,0.8821770699859662,0.8673500518640552,0.8735127219476478
rte,0.6209386281588448,0.5583634175691937,0.565583634175692,0.5667870036101083,0.5583634175691937,0.5740072202166066,0.5667870036101083,0.5703971119133574
wnli,0.48356807511737093,0.5070422535211268,0.49765258215962443,0.5023474178403756,0.5211267605633804,0.4647887323943662,0.49295774647887325,0.49765258215962443
mnli_m,0.8328069281711666,0.7540499235863475,0.775989132280523,0.7734759721514689,0.7958227203260316,0.8032603158430973,0.7715401596196299,0.7814229920190185
mnli_mm,0.8360455655004069,0.7664090046107948,0.7863100081366965,0.7866829400596691,0.8017697314890154,0.8074654190398698,0.785225115269867,0.7869202603742881
Average,0.7810946118688131,0.6549040978596443,0.7169403066848785,0.7172552709345265,0.7304422696836315,0.7414183504813231,0.7080227988403024,0.7243159194220237
